Iteracao,Particula,Distancia,PWM,Erro_Atual,Gbest_Erro
0,1,29.30,89.18,0.70,13.87
0,1,34.15,65.71,-4.15,13.87
0,1,30.47,54.71,-0.47,13.87
0,1,31.97,13.56,-1.97,13.87
0,1,37.24,-60.65,-7.24,13.87
0,1,34.79,-97.74,-4.79,13.87
0,1,37.24,-103.73,-7.24,13.87
0,1,32.28,-93.47,-2.28,13.87
0,1,28.29,-77.09,1.71,13.87
0,1,28.15,-64.48,1.85,13.87
0,1,30.47,-67.79,-0.47,13.87
0,1,31.06,-81.48,-1.06,13.87
0,1,22.72,-53.44,7.28,13.87
0,1,29.88,-60.12,0.12,13.87
0,1,30.62,-63.10,-0.62,13.87
0,1,28.72,-55.58,1.28,13.87
0,1,29.30,-50.42,0.70,13.87
0,1,29.30,-46.22,0.70,13.87
0,1,28.72,-24.51,1.28,13.87
0,1,29.30,-18.99,0.70,13.87
0,1,28.72,-7.68,1.28,13.87
0,1,21.38,34.24,8.62,13.87
0,1,28.58,40.31,1.42,13.87
0,1,29.30,65.16,0.70,13.87
0,1,27.73,84.10,2.27,13.87
0,1,29.88,88.35,0.12,13.87
0,1,21.86,105.13,8.14,13.87
0,1,33.36,75.94,-3.36,13.87
0,1,28.15,78.82,1.85,13.87
0,1,29.44,62.66,0.56,13.87
0,1,32.89,32.86,-2.89,13.87
0,1,32.28,17.46,-2.28,13.87
0,2,24.88,24.25,5.12,13.87
0,2,24.88,24.75,5.12,13.87
0,2,25.41,25.67,4.59,13.87
0,2,25.95,24.07,4.05,13.87
0,2,27.04,19.85,2.96,13.87
0,2,27.59,17.87,2.41,13.87
0,2,28.72,14.06,1.28,13.87
0,2,29.15,11.19,0.85,13.87
0,2,29.88,8.32,0.12,13.87
0,2,27.59,17.87,2.41,13.87
0,2,28.72,13.49,1.28,13.87
0,2,36.57,-30.95,-6.57,13.87
0,2,26.49,21.71,3.51,13.87
0,2,29.88,11.31,0.12,13.87
0,2,32.28,-2.09,-2.28,13.87
0,2,31.67,-1.94,-1.67,13.87
0,2,33.36,-12.24,-3.36,13.87
0,2,32.28,-11.33,-2.28,13.87
0,2,28.15,5.16,1.85,13.87
0,2,35.59,-27.12,-5.59,13.87
0,2,37.24,-36.08,-7.24,13.87
0,2,35.92,-30.97,-5.92,13.87
0,2,32.89,-17.69,-2.89,13.87
0,2,27.04,9.45,2.96,13.87
0,2,38.08,-41.34,-8.08,13.87
0,2,25.41,9.98,4.59,13.87
0,2,36.91,-40.20,-6.91,13.87
0,2,31.06,-14.51,-1.06,13.87
0,2,32.89,-19.70,-2.89,13.87
0,2,27.45,2.96,2.55,13.87
0,2,24.88,17.76,5.12,13.87
0,2,31.52,-10.17,-1.52,13.87
0,2,27.59,4.22,2.41,13.87
0,2,29.73,-6.37,0.27,13.87
0,2,30.92,-10.14,-0.92,13.87
0,2,36.08,-32.63,-6.08,13.87
0,2,32.89,-19.70,-2.89,13.87
0,2,33.36,-23.87,-3.36,13.87
0,2,30.47,-10.07,-0.47,13.87
0,2,27.04,5.72,2.96,13.87
0,2,35.43,-30.78,-5.43,13.87
0,2,26.22,8.89,3.78,13.87
0,2,32.74,-15.37,-2.74,13.87
0,2,32.89,-16.20,-2.89,13.87
0,2,30.47,-5.84,-0.47,13.87
0,2,29.88,-8.37,0.12,13.87
0,2,33.52,-23.40,-3.52,13.87
0,2,28.01,0.57,1.99,13.87
0,2,31.52,-17.41,-1.52,13.87
0,2,29.88,-8.37,0.12,13.87
0,2,31.67,-14.50,-1.67,13.87
0,2,28.44,3.32,1.56,13.87
0,2,35.92,-30.71,-5.92,13.87
0,2,27.04,9.45,2.96,13.87
0,2,37.24,-36.74,-7.24,13.87
0,2,36.74,-34.20,-6.74,13.87
0,2,30.32,-7.95,-0.32,13.87
0,2,28.58,-2.12,1.42,13.87
0,2,30.92,-15.66,-0.92,13.87
0,2,38.08,-39.91,-8.08,13.87
0,2,32.28,-17.49,-2.28,13.87
0,2,34.63,-26.23,-4.63,13.87
0,2,30.62,-6.12,-0.62,13.87
0,2,34.63,-29.52,-4.63,13.87
0,2,29.30,-5.05,0.70,13.87
0,2,31.06,-12.91,-1.06,13.87
0,2,32.28,-18.04,-2.28,13.87
0,2,30.32,-5.81,-0.32,13.87
0,2,30.92,-7.22,-0.92,13.87
0,2,23.22,26.53,6.78,13.87
0,2,29.88,-5.59,0.12,13.87
0,2,23.22,24.64,6.78,13.87
0,2,30.92,-10.12,-0.92,13.87
0,2,30.47,-6.63,-0.47,13.87
0,2,32.12,-18.11,-2.12,13.87
0,2,29.88,-8.28,0.12,13.87
0,2,33.52,-20.57,-3.52,13.87
0,2,33.05,-17.36,-3.05,13.87
0,2,35.92,-30.06,-5.92,13.87
0,2,30.47,-16.81,-0.47,13.87
0,2,37.07,-34.85,-7.07,13.87
0,2,31.06,-12.91,-1.06,13.87
0,2,35.27,-33.39,-5.27,13.87
0,2,32.89,-17.30,-2.89,13.87
0,2,31.52,-15.66,-1.52,13.87
0,2,35.43,-29.39,-5.43,13.87
0,2,35.27,-33.39,-5.27,13.87
0,2,34.15,-25.42,-4.15,13.87
0,2,31.67,-15.19,-1.67,13.87
0,2,30.92,-11.05,-0.92,13.87
0,2,32.89,-21.15,-2.89,13.87
0,2,33.99,-28.61,-3.99,13.87
0,2,35.92,-39.32,-5.92,13.87
0,2,32.28,-17.49,-2.28,13.87
0,2,32.74,-19.48,-2.74,13.87
0,2,29.88,-10.87,0.12,13.87
0,2,33.99,-23.07,-3.99,13.87
0,2,25.41,13.81,4.59,13.87
0,2,37.24,-36.08,-7.24,13.87
0,2,28.15,1.82,1.85,13.87
0,2,37.24,-39.42,-7.24,13.87
0,2,29.88,-3.39,0.12,13.87
0,2,35.59,-33.11,-5.59,13.87
0,2,36.08,-31.85,-6.08,13.87
0,2,30.77,-9.11,-0.77,13.87
0,2,29.88,-9.12,0.12,13.87
0,2,27.87,3.29,2.13,13.87
0,2,35.92,-30.48,-5.92,13.87
0,2,31.67,-16.95,-1.67,13.87
0,2,36.91,-35.22,-6.91,13.87
0,2,34.79,-25.29,-4.79,13.87
0,2,36.74,-34.33,-6.74,13.87
0,2,36.74,-39.41,-6.74,13.87
0,2,29.88,-8.50,0.12,13.87
0,2,30.47,-10.55,-0.47,13.87
0,2,34.63,-27.60,-4.63,13.87
0,2,33.52,-24.23,-3.52,13.87
0,2,36.41,-32.96,-6.41,13.87
1,0,26.08,17.48,3.92,13.87
1,0,26.49,36.36,3.51,13.87
1,0,25.95,58.91,4.05,13.87
1,0,26.49,64.40,3.51,13.87
1,0,28.15,58.77,1.85,13.87
1,0,19.76,87.40,10.24,13.87
1,0,33.68,36.08,-3.68,13.87
1,0,26.49,63.26,3.51,13.87
1,0,37.24,12.21,-7.24,13.87
1,0,37.24,-25.73,-7.24,13.87
1,0,36.41,-55.80,-6.41,13.87
1,0,37.24,-77.12,-7.24,13.87
1,0,37.24,-77.12,-7.24,13.87
1,0,33.52,-64.44,-3.52,13.87
1,0,31.06,-47.51,-1.06,13.87
1,0,32.28,-60.24,-2.28,13.87
1,0,29.73,-46.55,0.27,13.87
1,0,29.88,-48.20,0.12,13.87
1,0,30.47,-54.08,-0.47,13.87
1,0,29.15,-46.22,0.85,13.87
1,0,28.15,-35.52,1.85,13.87
1,0,28.58,-23.05,1.42,13.87
1,0,21.15,17.46,8.85,13.87
1,0,28.15,9.99,1.85,13.87
1,0,28.72,11.88,1.28,13.87
1,0,29.30,23.03,0.70,13.87
1,0,29.30,28.51,0.70,13.87
1,0,31.82,17.89,-1.82,13.87
1,0,29.88,25.75,0.12,13.87
1,0,28.58,27.84,1.42,13.87
1,0,28.58,29.81,1.42,13.87
1,0,36.08,-11.07,-6.08,13.87
1,0,29.88,2.26,0.12,13.87
1,0,29.30,1.61,0.70,13.87
1,0,29.30,-1.02,0.70,13.87
1,0,28.72,1.44,1.28,13.87
1,0,22.11,41.90,7.89,13.87
1,0,26.49,33.43,3.51,13.87
1,0,36.91,-15.83,-6.91,13.87
1,0,36.25,-45.26,-6.25,13.87
1,0,28.15,-35.20,1.85,13.87
1,0,32.89,-60.13,-2.89,13.87
1,0,29.73,-51.29,0.27,13.87
1,0,29.88,-45.24,0.12,13.87
1,0,29.88,-51.90,0.12,13.87
1,0,29.88,-51.93,0.12,13.87
1,0,34.79,-68.78,-4.79,13.87
1,0,31.52,-57.66,-1.52,13.87
1,0,30.47,-46.60,-0.47,13.87
1,0,30.47,-51.27,-0.47,13.87
1,0,30.47,-54.08,-0.47,13.87
1,0,30.47,-54.08,-0.47,13.87
1,0,29.01,-47.94,0.99,13.87
1,0,29.88,-47.41,0.12,13.87
1,0,29.88,-46.00,0.12,13.87
1,0,29.30,-40.19,0.70,13.87
1,0,29.30,-20.14,0.70,13.87
1,0,29.30,-16.30,0.70,13.87
1,0,29.30,-11.40,0.70,13.87
1,0,28.72,-3.18,1.28,13.87
1,0,29.30,-0.99,0.70,13.87
1,0,29.88,10.49,0.12,13.87
1,0,26.76,31.67,3.24,13.87
1,0,28.72,30.64,1.28,13.87
1,0,28.72,43.21,1.28,13.87
1,0,29.30,44.23,0.70,13.87
1,0,29.30,46.70,0.70,13.87
1,0,29.15,46.25,0.85,13.87
1,0,30.17,43.10,-0.17,13.87
1,0,29.44,40.42,0.56,13.87
1,0,36.08,-1.16,-6.08,13.87
1,0,29.30,6.91,0.70,13.87
1,0,37.24,-24.24,-7.24,13.87
1,0,29.30,5.45,0.70,13.87
1,0,29.30,6.07,0.70,13.87
1,0,19.42,45.02,10.58,13.87
1,0,30.47,10.56,-0.47,13.87
1,0,32.89,16.09,-2.89,13.87
1,0,23.85,56.88,6.15,13.87
1,0,37.24,-8.55,-7.24,13.87
1,0,33.36,2.02,-3.36,13.87
1,0,37.40,-19.63,-7.40,13.87
1,0,31.67,-9.45,-1.67,13.87
1,0,27.59,-20.76,2.41,13.87
1,0,37.24,-73.32,-7.24,13.87
1,0,36.41,-74.30,-6.41,13.87
1,0,32.89,-62.32,-2.89,13.87
1,0,36.08,-73.23,-6.08,13.87
1,0,31.67,-58.17,-1.67,13.87
1,0,35.92,-72.68,-5.92,13.87
1,0,29.15,-41.51,0.85,13.87
1,0,30.47,-53.05,-0.47,13.87
1,0,30.47,-54.05,-0.47,13.87
1,0,30.32,-53.56,-0.32,13.87
1,0,31.06,-54.58,-1.06,13.87
1,0,32.89,-62.33,-2.89,13.87
1,0,34.79,-68.78,-4.79,13.87
1,0,30.47,-54.08,-0.47,13.87
1,0,32.28,-60.26,-2.28,13.87
1,0,30.47,-54.08,-0.47,13.87
1,0,31.06,-56.12,-1.06,13.87
1,0,29.88,-51.82,0.12,13.87
1,0,30.62,-54.60,-0.62,13.87
1,0,29.88,-44.13,0.12,13.87
1,0,30.47,-49.24,-0.47,13.87
1,0,29.88,-46.77,0.12,13.87
1,0,22.47,-9.62,7.53,13.87
1,0,30.77,-35.76,-0.77,13.87
1,0,29.30,-30.30,0.70,13.87
1,0,28.72,-25.27,1.28,13.87
1,0,19.99,20.39,10.01,13.87
1,0,28.15,1.19,1.85,13.87
1,0,28.15,10.89,1.85,13.87
1,0,27.59,35.91,2.41,13.87
1,0,28.15,44.13,1.85,13.87
1,0,28.72,50.70,1.28,13.87
1,0,28.72,56.84,1.28,13.87
1,0,28.72,56.85,1.28,13.87
1,0,29.30,54.88,0.70,13.87
1,0,29.88,52.90,0.12,13.87
1,1,25.95,13.13,4.05,11.63
1,1,25.95,28.79,4.05,11.63
1,1,28.01,36.79,1.99,11.63
1,1,27.17,47.21,2.83,11.63
1,1,28.15,44.86,1.85,11.63
1,1,29.30,42.11,0.70,11.63
1,1,31.06,36.96,-1.06,11.63
1,1,26.49,48.99,3.51,11.63
1,1,32.74,30.81,-2.74,11.63
1,1,33.52,17.47,-3.52,11.63
1,1,36.41,-7.86,-6.41,11.63
1,1,37.24,-35.66,-7.24,11.63
1,1,36.91,-56.91,-6.91,11.63
1,1,38.08,-60.14,-8.08,11.63
1,1,37.24,-57.71,-7.24,11.63
1,1,36.08,-54.94,-6.08,11.63
1,1,25.95,-24.28,4.05,11.63
1,1,28.72,-28.87,1.28,11.63
1,1,31.06,-19.66,-1.06,11.63
1,1,29.30,-13.56,0.70,11.63
1,1,31.06,-17.04,-1.06,11.63
1,1,33.52,-30.65,-3.52,11.63
1,1,30.47,-30.06,-0.47,11.63
1,1,32.28,-40.70,-2.28,11.63
1,1,30.77,-37.25,-0.77,11.63
1,1,33.05,-47.87,-3.05,11.63
1,1,29.88,-40.02,0.12,11.63
1,1,30.47,-41.51,-0.47,11.63
1,1,23.47,-19.26,6.53,11.63
1,1,29.88,-32.23,0.12,11.63
1,1,30.47,-34.08,-0.47,11.63
1,1,28.01,-26.14,1.99,11.63
1,1,29.88,-25.59,0.12,11.63
1,1,30.47,-14.88,-0.47,11.63
1,1,29.88,-11.31,0.12,11.63
1,1,29.88,-9.44,0.12,11.63
1,1,29.88,-3.76,0.12,11.63
1,1,30.47,0.14,-0.47,11.63
1,1,29.30,3.29,0.70,11.63
1,1,29.88,2.80,0.12,11.63
1,1,29.30,4.84,0.70,11.63
1,1,30.47,2.01,-0.47,11.63
1,1,31.06,3.06,-1.06,11.63
1,1,31.06,7.40,-1.06,11.63
1,1,29.88,10.24,0.12,11.63
1,1,31.67,9.10,-1.67,11.63
1,1,31.82,9.08,-1.82,11.63
1,1,30.47,10.78,-0.47,11.63
1,1,28.15,12.22,1.85,11.63
1,1,32.28,3.51,-2.28,11.63
1,1,31.06,0.75,-1.06,11.63
1,1,23.98,25.98,6.02,11.63
1,1,32.89,5.52,-2.89,11.63
1,1,30.47,-2.42,-0.47,11.63
1,1,32.89,-19.98,-2.89,11.63
1,1,37.07,-57.34,-7.07,11.63
1,1,38.08,-59.74,-8.08,11.63
1,1,31.06,-42.83,-1.06,11.63
1,1,31.67,-44.49,-1.67,11.63
1,1,30.47,-41.60,-0.47,11.63
1,1,30.47,-41.43,-0.47,11.63
1,1,32.89,-47.26,-2.89,11.63
1,1,31.67,-44.46,-1.67,11.63
1,1,30.47,-41.45,-0.47,11.63
1,1,32.28,-45.88,-2.28,11.63
1,1,32.89,-47.47,-2.89,11.63
1,1,32.28,-45.91,-2.28,11.63
1,1,32.89,-47.47,-2.89,11.63
1,1,30.47,-38.80,-0.47,11.63
1,1,31.06,-43.04,-1.06,11.63
1,1,30.47,-41.60,-0.47,11.63
1,1,30.47,-41.60,-0.47,11.63
1,1,32.12,-45.60,-2.12,11.63
1,1,29.88,-39.91,0.12,11.63
1,1,29.88,-34.72,0.12,11.63
1,1,29.88,-36.64,0.12,11.63
1,1,30.47,-37.47,-0.47,11.63
1,1,29.30,-33.15,0.70,11.63
1,1,29.30,-26.88,0.70,11.63
1,1,29.30,-24.06,0.70,11.63
1,1,28.72,-13.49,1.28,11.63
1,1,28.86,-8.86,1.14,11.63
1,1,30.03,-7.56,-0.03,11.63
1,1,28.72,1.57,1.28,11.63
1,1,28.72,8.59,1.28,11.63
1,1,28.15,17.45,1.85,11.63
1,1,28.15,24.93,1.85,11.63
1,1,28.15,33.05,1.85,11.63
1,1,28.15,43.63,1.85,11.63
1,1,27.04,47.60,2.96,11.63
1,1,28.72,43.52,1.28,11.63
1,1,28.72,43.53,1.28,11.63
1,1,29.30,42.09,0.70,11.63
1,1,29.30,42.13,0.70,11.63
1,1,29.88,40.72,0.12,11.63
1,1,31.06,34.87,-1.06,11.63
1,1,29.88,37.41,0.12,11.63
1,1,29.88,26.67,0.12,11.63
1,1,19.09,64.84,10.91,11.63
1,1,27.59,39.35,2.41,11.63
1,1,25.95,41.94,4.05,11.63
1,1,37.57,8.97,-7.57,11.63
1,1,34.47,0.32,-4.47,11.63
1,1,36.74,-31.42,-6.74,11.63
1,1,36.08,-49.25,-6.08,11.63
1,1,34.79,-51.25,-4.79,11.63
1,1,28.72,-35.27,1.28,11.63
1,1,30.47,-41.36,-0.47,11.63
1,1,29.15,-36.96,0.85,11.63
1,1,36.08,-54.92,-6.08,11.63
1,1,27.04,-28.64,2.96,11.63
1,1,33.36,-48.49,-3.36,11.63
1,1,35.43,-50.12,-5.43,11.63
1,1,28.15,-29.11,1.85,11.63
1,1,29.88,-29.53,0.12,11.63
1,1,34.15,-38.61,-4.15,11.63
1,1,30.47,-30.22,-0.47,11.63
1,1,32.89,-42.35,-2.89,11.63
1,1,30.92,-42.51,-0.92,11.63
1,1,32.43,-46.16,-2.43,11.63
1,2,27.73,11.81,2.27,11.44
1,2,28.29,26.85,1.71,11.44
1,2,27.59,49.66,2.41,11.44
1,2,28.44,71.75,1.56,11.44
1,2,29.73,72.23,0.27,11.44
1,2,28.15,77.64,1.85,11.44
1,2,35.27,43.26,-5.27,11.44
1,2,37.24,25.32,-7.24,11.44
1,2,35.43,-0.54,-5.43,11.44
1,2,37.57,-47.58,-7.57,11.44
1,2,37.24,-95.89,-7.24,11.44
1,2,36.74,-95.65,-6.74,11.44
1,2,34.79,-87.20,-4.79,11.44
1,2,30.32,-72.42,-0.32,11.44
1,2,27.04,-46.35,2.96,11.44
1,2,31.21,-67.38,-1.21,11.44
1,2,30.62,-69.69,-0.62,11.44
1,2,29.15,-62.58,0.85,11.44
1,2,29.88,-56.07,0.12,11.44
1,2,29.88,-58.37,0.12,11.44
1,2,29.88,-55.13,0.12,11.44
1,2,28.72,-44.52,1.28,11.44
1,2,28.15,-15.51,1.85,11.44
1,2,28.15,-2.04,1.85,11.44
1,2,28.15,10.11,1.85,11.44
1,2,28.29,43.11,1.71,11.44
1,2,28.15,56.28,1.85,11.44
1,2,29.15,59.84,0.85,11.44
1,2,29.88,71.86,0.12,11.44
1,2,19.09,112.77,10.91,11.44
1,2,30.17,67.29,-0.17,11.44
1,2,32.89,51.62,-2.89,11.44
1,2,34.95,15.92,-4.95,11.44
1,2,38.08,-42.78,-8.08,11.44
1,2,37.24,-57.30,-7.24,11.44
1,2,25.28,-35.61,4.72,11.44
1,2,29.30,-64.92,0.70,11.44
1,2,28.72,-63.53,1.28,11.44
1,2,28.72,-55.12,1.28,11.44
1,2,31.21,-73.30,-1.21,11.44
1,2,30.47,-73.09,-0.47,11.44
1,2,31.82,-76.82,-1.82,11.44
1,2,32.12,-72.93,-2.12,11.44
1,2,30.92,-68.40,-0.92,11.44
1,2,29.88,-68.45,0.12,11.44
1,2,29.88,-67.01,0.12,11.44
1,2,29.30,-63.96,0.70,11.44
1,2,28.58,-55.44,1.42,11.44
1,2,28.72,-35.42,1.28,11.44
1,2,21.50,9.17,8.50,11.44
1,2,28.72,-8.84,1.28,11.44
